"businessentityid","nationalidnumber","departmentid","name","groupname","startdate"
88,"294148271",7,"Production","Manufacturing","2009-12-18"
96,"912141525",7,"Production","Manufacturing","2009-03-02"
97,"370581729",7,"Production","Manufacturing","2009-02-10"
98,"152085091",7,"Production","Manufacturing","2009-02-11"
99,"431859843",7,"Production","Manufacturing","2009-01-06"
100,"204035155",7,"Production","Manufacturing","2009-01-12"
101,"153288994",7,"Production","Manufacturing","2009-01-25"
103,"455563743",7,"Production","Manufacturing","2009-12-06"
104,"717889520",7,"Production","Manufacturing","2009-12-25"
105,"801365500",7,"Production","Manufacturing","2009-12-25"
112,"981597097",7,"Production","Manufacturing","2009-01-01"
114,"342607223",7,"Production","Manufacturing","2009-01-13"
115,"563680513",7,"Production","Manufacturing","2009-01-20"
116,"398737566",7,"Production","Manufacturing","2009-01-31"
117,"599942664",7,"Production","Manufacturing","2009-02-18"
118,"222400012",7,"Production","Manufacturing","2009-02-13"
119,"334834274",7,"Production","Manufacturing","2009-02-25"
120,"211789056",7,"Production","Manufacturing","2009-03-04"
121,"521265716",15,"Shipping and Receiving","Inventory Management","2009-01-02"
125,"584205124",15,"Shipping and Receiving","Inventory Management","2009-01-20"
126,"652779496",15,"Shipping and Receiving","Inventory Management","2009-02-26"
127,"750905084",7,"Production","Manufacturing","2009-01-03"
130,"578953538",7,"Production","Manufacturing","2009-02-13"
131,"273260055",7,"Production","Manufacturing","2009-02-15"
132,"1300049",7,"Production","Manufacturing","2009-02-22"
133,"830150469",7,"Production","Manufacturing","2009-01-10"
134,"45615666",7,"Production","Manufacturing","2009-01-14"
136,"701156975",7,"Production","Manufacturing","2009-12-11"
137,"63761469",7,"Production","Manufacturing","2009-02-23"
138,"25011600",7,"Production","Manufacturing","2009-02-04"
144,"886023130",7,"Production","Manufacturing","2009-01-17"
145,"386315192",7,"Production","Manufacturing","2009-01-27"
148,"733022683",7,"Production","Manufacturing","2009-01-14"
149,"764853868",7,"Production","Manufacturing","2009-01-31"
150,"878395493",7,"Production","Manufacturing","2009-02-26"
151,"993310268",7,"Production","Manufacturing","2009-02-19"
152,"319472946",7,"Production","Manufacturing","2009-02-01"
155,"212801092",7,"Production","Manufacturing","2009-01-04"
156,"322160340",7,"Production","Manufacturing","2009-01-11"
157,"812797414",7,"Production","Manufacturing","2009-02-03"
158,"300946911",7,"Production","Manufacturing","2009-03-07"
159,"404159499",7,"Production","Manufacturing","2009-02-16"
160,"712885347",7,"Production","Manufacturing","2009-01-21"
162,"514829225",7,"Production","Manufacturing","2009-01-03"
163,"377784364",7,"Production","Manufacturing","2009-02-08"
164,"65848458",7,"Production","Manufacturing","2009-03-06"
165,"539490372",7,"Production","Manufacturing","2009-01-22"
166,"60114406",7,"Production","Manufacturing","2009-02-21"
171,"746373306",7,"Production","Manufacturing","2009-01-02"
172,"364818297",7,"Production","Manufacturing","2009-01-16"
173,"87268837",7,"Production","Manufacturing","2009-01-21"
174,"585408256",7,"Production","Manufacturing","2009-01-27"
175,"259388196",7,"Production","Manufacturing","2009-02-02"
176,"860123571",7,"Production","Manufacturing","2009-02-14"
177,"551346974",7,"Production","Manufacturing","2009-02-21"
178,"568626529",7,"Production","Manufacturing","2009-03-03"
179,"587567941",7,"Production","Manufacturing","2009-03-05"
180,"862951447",7,"Production","Manufacturing","2009-02-20"
183,"969985265",7,"Production","Manufacturing","2009-01-22"
184,"305522471",7,"Production","Manufacturing","2009-02-09"
185,"621932914",7,"Production","Manufacturing","2009-02-28"
186,"551834634",7,"Production","Manufacturing","2009-02-08"
189,"187369436",7,"Production","Manufacturing","2009-01-15"
190,"456839592",7,"Production","Manufacturing","2009-02-02"
191,"399658727",7,"Production","Manufacturing","2009-02-26"
192,"634335025",7,"Production","Manufacturing","2009-03-05"
198,"19312190",7,"Production","Manufacturing","2009-01-04"
199,"992874797",7,"Production","Manufacturing","2009-01-12"
200,"749211824",7,"Production","Manufacturing","2009-01-17"
201,"746201340",7,"Production","Manufacturing","2009-01-29"
202,"436757988",7,"Production","Manufacturing","2009-02-05"
203,"693168613",7,"Production","Manufacturing","2009-02-24"
204,"440379437",7,"Production","Manufacturing","2009-03-08"
205,"332349500",7,"Production","Manufacturing","2009-02-26"
208,"199546871",7,"Production","Manufacturing","2009-01-08"
209,"167554340",7,"Production","Manufacturing","2009-01-27"
210,"20244403",7,"Production","Manufacturing","2009-02-20"
211,"398223854",13,"Quality Assurance","Quality Assurance","2009-02-28"
214,"131471224",13,"Quality Assurance","Quality Assurance","2009-02-02"
215,"381772114",13,"Quality Assurance","Quality Assurance","2009-01-15"
217,"345106466",12,"Document Control","Quality Assurance","2009-01-04"
219,"242381745",12,"Document Control","Quality Assurance","2009-01-22"
220,"260770918",12,"Document Control","Quality Assurance","2009-02-09"
221,"260805477",12,"Document Control","Quality Assurance","2009-03-06"
223,"981495526",8,"Production Control","Manufacturing","2009-01-26"
224,"621209647",7,"Production","Manufacturing","2009-01-07"
225,"470689086",8,"Production Control","Manufacturing","2009-02-13"
226,"368691270",8,"Production Control","Manufacturing","2009-03-03"
227,"141165819",14,"Facilities and Maintenance","Executive General and Administration","2009-12-02"
233,"552560652",14,"Facilities and Maintenance","Executive General and Administration","2009-12-21"
234,"184188301",10,"Finance","Executive General and Administration","2009-01-31"
236,"476980013",9,"Human Resources","Executive General and Administration","2009-02-25"
237,"416679555",9,"Human Resources","Executive General and Administration","2009-02-06"
238,"264306399",9,"Human Resources","Executive General and Administration","2009-01-01"
241,"30845",10,"Finance","Executive General and Administration","2009-01-30"
243,"60517918",10,"Finance","Executive General and Administration","2009-01-06"
244,"931190412",10,"Finance","Executive General and Administration","2009-01-24"
245,"363910111",10,"Finance","Executive General and Administration","2009-02-18"
246,"663843431",10,"Finance","Executive General and Administration","2009-02-11"
247,"519756660",10,"Finance","Executive General and Administration","2009-03-01"
248,"480951955",10,"Finance","Executive General and Administration","2009-03-08"
251,"603686790",5,"Purchasing","Inventory Management","2009-02-10"
252,"792847334",5,"Purchasing","Inventory Management","2009-02-28"
253,"407505660",5,"Purchasing","Inventory Management","2009-12-17"
262,"231203233",10,"Finance","Executive General and Administration","2009-01-12"
264,"858323870",11,"Information Services","Executive General and Administration","2009-02-04"
266,"672243793",11,"Information Services","Executive General and Administration","2009-02-23"
267,"58317344",11,"Information Services","Executive General and Administration","2009-02-16"
268,"314747499",11,"Information Services","Executive General and Administration","2009-02-03"
269,"671089628",11,"Information Services","Executive General and Administration","2009-01-11"
270,"643805155",11,"Information Services","Executive General and Administration","2009-01-17"
271,"929666391",11,"Information Services","Executive General and Administration","2009-01-22"
